Name,Season,Hometown,#TimesPlayed,TwitterHandle,SeasonAge,Rank,Sex,ChallengeWins,VotesAgainst,DaysLasted,IdolsFound,IdolsPlayed,VotesVoided,BootAvoided,,,,,,,,,,,
Jim Lynch,Guatemala,"Northglenn, CO",1,0,63,18,M,1,8,3,0,0,0,0,,,,,,,,,,,
Joe Dowdle,Tocantins,"Austin, TX",1,1,26,10,M,5,1,20,0,0,0,0,,,,,,,,,,,
Joel Anderson,Micronesia,"Avondale, AZ",1,1,32,16,M,2,6,14,0,0,0,0,,,,,,,,,,,
John Fincher,Samoa,"Los Angeles, CA",1,1,25,9,M,10,7,30,0,0,0,0,,,,,,,,,,,
"Jon ""Jonny Fairplay"" Dalton",Micronesia,"Danville, VA",2,1,33,20,M,0,9,3,0,0,0,0,,,,,,,,,,,
Jonathan Penner,Cook Islands,"Los Angeles, CA",1,1,44,7,M,7,15,33,0,0,0,0,,,,,,,,,,,
Jonathan Penner,Micronesia,"Los Angeles, CA",2,1,45,15,M,7,0,15,0,0,0,0,,,,,,,,,,,
Judd Sergeant,Guatemala,"Ridgefield, NJ",1,0,34,6,M,10,5,33,0,0,0,0,,,,,,,,,,,
"Kathleen ""Kathy"" Sleckman",Micronesia,"Glen Ellyn, IL",1,0,45,13,F,7,0,19,0,0,0,0,,,,,,,,,,,
Kelly Czarnecki,Gabon,"Buffalo Grove, IL",1,1,22,13,F,3,8,18,0,0,0,0,,,,,,,,,,,
Kelly Sharbaugh,Samoa,"Los Angeles, CA",1,1,25,11,F,9,4,24,0,0,0,0,,,,,,,,,,,
Ken Hoang,Gabon,"Westminster, CA",1,0,22,5,M,3,7,37,0,0,0,0,,,,,,,,,,,
"Kenward ""Boo"" Bernis",Fiji,"Lafayette, LA",1,1,34,5,M,17,5,37,0,0,0,0,,,,,,,,,,,
Laura Morett,Samoa,"Salem, OR",1,1,39,10,F,11,10,27,0,0,0,0,,,,,,,,,,,
Leslie Nease,China,"Tega Cay, SC",1,1,38,14,F,3,6,9,0,0,0,0,,,,,,,,,,,
Liliana Gomez,Fiji,"Oxnard, CA",1,0,25,15,F,6,6,11,0,0,0,0,,,,,,,,,,,
"Lisette ""Lisi"" Linares",Fiji,"Los Angeles, CA",1,0,36,11,F,9,7,21,0,0,0,0,,,,,,,,,,,
Lydia Morales,Guatemala,"Lakewood, WA",1,0,42,4,F,4,10,37,0,0,0,0,,,,,,,,,,,
Marcus Lehman,Gabon,"Atlanta, GA",1,1,28,10,M,11,3,24,1,0,0,0,,,,,,,,,,,
Margaret Bobonich,Guatemala,"Chardon, OH",1,0,43,13,F,7,7,15,0,0,0,0,,,,,,,,,,,
Marisa Calihan,Samoa,"Cincinnati, OH",1,1,26,20,F,1,7,3,0,0,0,0,,,,,,,,,,,
Mary Sartain,Micronesia,"Emeryville, CA",1,0,29,19,F,1,6,6,0,0,0,0,,,,,,,,,,,
Matty Whitmore,Gabon,"Pacific Palisades,CA",1,0,29,4,M,4,7,38,0,1,2,0,,,,,,,,,,,
Melinda Hyder,Panama,"Sevierville, TN",1,0,32,15,F,1,5,6,0,0,0,0,,,,,,,,,,,
"Michael ""Frosti"" Zernow",China,"Chicago, IL",1,0,20,8,M,6,7,27,0,0,0,0,,,,,,,,,,,
"Michael ""Mikey B"" Bortone",Micronesia,"Los Angeles, CA",1,0,34,17,M,2,6,11,0,0,0,0,,,,,,,,,,,
Michelle Chase,Gabon,"Los Angeles, CA",1,0,24,18,F,0,8,3,0,0,0,0,,,,,,,,,,,
Michelle Yi,Fiji,"Cincinnati, OH",1,0,23,10,F,4,3,24,0,0,0,0,,,,,,,,,,,
Mick Trimming,Samoa,"Los Angeles, CA",1,0,33,3,M,3,4,39,0,0,0,0,,,,,,,,,,,
Mike Borassi,Samoa,"Marina del Rey,CA",1,0,62,19,M,1,0,5,0,0,0,0,,,,,,,,,,,
Misty Giles,Panama,"Dallas, TX",1,0,24,14,F,4,5,8,0,0,0,0,,,,,,,,,,,
Monica Padilla,Samoa,"San Diego, CA",1,1,25,7,F,9,7,33,0,0,0,0,,,,,,,,,,,
Mookie Lee,Fiji,"Wheeling, IL",1,1,25,8,M,1,6,30,1,1,0,0,,,,,,,,,,,
Morgan McDevitt,Guatemala,"Decatur, IL",1,0,21,17,F,1,8,6,0,0,0,0,,,,,,,,,,,
Natalie Bolton,Micronesia,"Los Angeles, CA",1,1,32,4,F,8,3,37,0,0,0,0,,,,,,,,,,,
Natalie White,Samoa,"Van Buren, AR",1,0,26,1,F,3,8,39,0,0,0,0,,,,,,,,,,,
"Nathan ""Nate"" Gonzalez",Cook Islands,"Los Angeles, CA",1,0,26,9,M,4,5,27,0,0,0,0,,,,,,,,,,,
Nick Stanbury,Panama,"Tempe, AZ",1,0,25,10,M,6,6,18,0,0,0,0,,,,,,,,,,,
"Oscar ""Ozzy"" Lusth",Cook Islands,"Venice, CA",1,1,25,2,M,16,1,39,0,0,0,0,,,,,,,,,,,
"Oscar ""Ozzy"" Lusth",Micronesia,"Venice, CA",2,1,26,9,M,6,9,27,1,0,0,0,,,,,,,,,,,
Paloma Soto-Castillo,Gabon,"Downey, CA",1,1,23,16,F,3,7,9,0,0,0,0,,,,,,,,,,,
Parvati Shallow,Cook Islands,"Los Angeles, CA",1,1,24,6,F,7,4,36,0,0,0,0,,,,,,,,,,,
Parvati Shallow,Micronesia,"Los Angeles, CA",2,1,25,1,F,11,4,39,1,0,0,0,,,,,,,,,,,
Parvati Shallow,Heroes vs. Villains,"Los Angeles, CA",3,1,27,2,F,11,8,39,1,2,5,0,,,,,,,,,,,
Peih-Gee Law,China,"Marina Del Rey,CA",1,0,29,5,F,6,8,36,0,0,0,0,,,,,,,,,,,
Rafe Judkins,Guatemala,"Providence, RI",1,0,22,3,M,8,2,38,0,0,0,0,,,,,,,,,,,
Randy Bailey,Gabon,"Eagle Rock, MO",1,0,49,8,M,10,5,30,0,0,0,0,,,,,,,,,,,
Randy Bailey,Heroes vs. Villains,"Eagle Rock, MO",2,0,50,18,M,2,9,8,0,0,0,0,,,,,,,,,,,
Rebecca Borman,Cook Islands,"Laurelton, NY",1,0,34,11,F,4,6,24,0,0,0,0,,,,,,,,,,,
Rita Verreos,Fiji,"San Antonio, TX",1,0,38,14,F,0,6,14,0,0,0,0,,,,,,,,,,,
"Robert ""Bob"" Crowley",Gabon,"Portland, ME",1,1,57,1,M,14,2,39,0,0,0,0,,,,,,,,,,,
Rupert Boneham,Heroes vs. Villains,"Indianapolis, IN",3,1,45,6,M,7,10,36,0,0,0,0,,,,,,,,,,,
Russell Hantz,Samoa,"Dayton, TX",1,1,36,2,M,5,9,39,3,2,7,1,,,,,,,,,,,
Russell Hantz,Heroes vs. Villains,"Dayton, TX",2,1,36,3,M,10,5,39,2,2,4,1,,,,,,,,,,,
Russell Swan,Samoa,"Glenside, PA",1,1,42,14,M,6,0,15,0,0,0,0,,,,,,,,,,,
Ruth Marie Milliman,Panama,"Greenville, SC",1,0,48,13,F,4,6,11,0,0,0,0,,,,,,,,,,,
Sally Schumann,Panama,"Chicago, IL",1,0,27,8,F,7,8,24,0,0,0,0,,,,,,,,,,,
Sandra Diaz-Twine,Heroes vs. Villains,"Fort Lewis, WA",2,0,35,1,F,8,3,39,1,1,2,0,,,,,,,,,,,
Sandy Burgin,Tocantins,"Louisville, KY",1,0,53,13,F,4,6,12,0,0,0,0,,,,,,,,,,,
Sekou Bunch,Cook Islands,"Los Angeles, CA",1,0,45,20,M,0,3,3,0,0,0,0,,,,,,,,,,,
Shane Powers,Panama,"Los Angeles, CA",1,1,34,5,M,7,9,33,0,0,0,0,,,,,,,,,,,
"Shannon ""Shambo"" Waters",Samoa,"Renton, WA",1,0,45,6,F,10,6,36,0,0,0,0,,,,,,,,,,,
Sherea Lloyd,China,"Atlanta, GA",1,1,26,11,F,4,6,18,0,0,0,0,,,,,,,,,,,
Sierra Reed,Tocantins,"Los Angeles, CA",1,0,23,7,F,5,11,30,0,0,0,0,,,,,,,,,,,
Spencer Duhm,Tocantins,"Lakeland, FL",1,1,18,12,M,5,5,15,0,0,0,0,,,,,,,,,,,
Stacy Kimball,Fiji,"Boulder, CO",1,1,27,6,F,15,4,36,0,0,0,0,,,,,,,,,,,
Stephannie Favor,Cook Islands,"Columbia, SC",1,0,35,16,F,3,9,14,0,0,0,0,,,,,,,,,,,
Stephen Fishbach,Tocantins,"New York, NY",1,1,29,2,M,7,1,39,0,0,0,0,,,,,,,,,,,
Stephenie LaGrossa,Guatemala,"Glenolden, PA",2,1,25,2,F,6,2,39,0,0,0,0,,,,,,,,,,,
Stephenie LaGrossa,Heroes vs. Villains,"Glenolden, PA",3,1,29,19,F,1,6,6,0,0,0,0,,,,,,,,,,,
